record_id,study,species,setting,design,arm,schedule_or_sampling,endpoint,n,numerator,denominator,estimate,unit,ci_level,ci_low,ci_high,comparison_effect,comparator,source_url,access_date,evidence_tier,data_granularity,study_status,intervention_class,comparability_caveat
cotc022_soc_median_dfi,COTC021/022,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective randomized multicenter trial,COTC022 standard of care,amputation followed by four carboplatin cycles,median_disease_free_interval,157,,,180,days,95,144,237,,none,https://pmc.ncbi.nlm.nih.gov/articles/PMC8172450/,2026-08-02,A_randomized_concurrent,aggregate,completed,current_standard_care,"Canine DFI begins at amputation and is not interchangeable with human EFS; this is an arm-level estimate rather than patient-level data."
cotc022_soc_median_os,COTC021/022,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective randomized multicenter trial,COTC022 standard of care,amputation followed by four carboplatin cycles,median_overall_survival,157,,,282,days,95,224,383,,none,https://pmc.ncbi.nlm.nih.gov/articles/PMC8172450/,2026-08-02,A_randomized_concurrent,aggregate,completed,current_standard_care,"The endpoint is canine overall survival after amputation; salvage care and species-specific disease clocks prevent direct numerical comparison with human OS."
cotc021_sirolimus_median_dfi,COTC021/022,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective randomized multicenter trial,COTC021 standard of care plus sirolimus,sirolimus began after four carboplatin cycles,median_disease_free_interval,152,,,204,days,95,157,217,"log-rank p=0.87",COTC022 standard of care,https://pmc.ncbi.nlm.nih.gov/articles/PMC8172450/,2026-08-02,A_randomized_concurrent,aggregate,completed,non_RNA_mTOR_inhibitor,"The trial found no DFI improvement; this identifies one tested sequencing strategy and does not establish that every mTOR-vaccine interaction is ineffective."
cotc021_sirolimus_median_os,COTC021/022,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective randomized multicenter trial,COTC021 standard of care plus sirolimus,sirolimus began after four carboplatin cycles,median_overall_survival,152,,,280,days,95,252,332,"log-rank p=0.98",COTC022 standard of care,https://pmc.ncbi.nlm.nih.gov/articles/PMC8172450/,2026-08-02,A_randomized_concurrent,aggregate,completed,non_RNA_mTOR_inhibitor,"The trial found no OS improvement; it is a randomized canine calibration anchor rather than evidence about an RNA vaccine."
cotc026_her2_vaccine_median_dfi,COTC026,dog,"appendicular osteosarcoma treated in the minimal-residual-disease setting",prospective multicenter single-arm trial with historical comparator,COTC026 standard of care plus ADXS31-164 HER2 Listeria vaccine,three IV vaccine doses every three weeks after amputation and four carboplatin cycles,median_disease_free_interval,118,,,217,days,95,180,268,"historical-comparator log-rank p=0.33",COTC022 historical standard of care median 180 days,https://pubmed.ncbi.nlm.nih.gov/39955616/,2026-08-02,B_prospective_historical_control,aggregate,completed,non_RNA_Listeria_vaccine,"The comparator was historical rather than randomized and the vaccine was Listeria-based rather than RNA; no significant DFI improvement was observed. The 118-dog ITT denominator includes dogs who did not complete the vaccine course."
cotc026_her2_vaccine_median_os,COTC026,dog,"appendicular osteosarcoma treated in the minimal-residual-disease setting",prospective multicenter single-arm trial with historical comparator,COTC026 standard of care plus ADXS31-164 HER2 Listeria vaccine,three IV vaccine doses every three weeks after amputation and four carboplatin cycles,median_overall_survival,118,,,341,days,95,276,482,"historical-comparator log-rank p=0.10",COTC022 historical standard of care median 282 days,https://pubmed.ncbi.nlm.nih.gov/39955616/,2026-08-02,B_prospective_historical_control,aggregate,completed,non_RNA_Listeria_vaccine,"The numerical OS difference was not statistically significant and cannot support a superiority claim because treatment assignment was not concurrent randomized. The 118-dog ITT denominator includes dogs who did not complete the vaccine course."
cotc030_il15_median_dfi,COTC030,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective phase 2 single-arm trial with historical comparator,COTC030 standard of care plus inhaled recombinant human IL-15,two weeks of inhaled IL-15 after amputation and before carboplatin,median_disease_free_interval,37,,,109,days,95,100,254,"historical-comparator log-rank p=0.033",COTC022 historical standard of care median 180 days,https://pmc.ncbi.nlm.nih.gov/articles/PMC12589053/,2026-08-02,B_prospective_historical_control,aggregate,completed,non_RNA_cytokine_immunotherapy,"The trial stopped for futility and the historical comparison was not randomized; the result is a warning about this tested timing sequence rather than proof that IL-15 caused harm."
cotc030_il15_median_os,COTC030,dog,"appendicular osteosarcoma without detectable metastasis at enrollment",prospective phase 2 single-arm trial with historical comparator,COTC030 standard of care plus inhaled recombinant human IL-15,two weeks of inhaled IL-15 after amputation and before carboplatin,median_overall_survival,37,,,224,days,95,149,272,"historical-comparator log-rank p=0.003",COTC022 historical standard of care median 282 days,https://pmc.ncbi.nlm.nih.gov/articles/PMC12589053/,2026-08-02,B_prospective_historical_control,aggregate,completed,non_RNA_cytokine_immunotherapy,"Despite the reported historical-control difference this is not randomized causal evidence; use it to penalize unsupported schedule extrapolation."
rt_listeria_2026_median_os,2026 radiation plus Lm-LLO-HER2 pilot,dog,"treatment-naive nonmetastatic appendicular osteosarcoma in dogs whose owners elected against standard amputation and chemotherapy",prospective single-arm pilot with historical comparator,palliative radiation plus Lm-LLO-HER2,"two 8-Gy fractions followed 2-4 days later by q3-week Lm-LLO-HER2 for up to eight doses and optional q2-month boosters",median_overall_survival,15,,,159,days,,,,"historical-comparator log-rank p=0.0237",palliative-radiation-only historical cohort n=83 median OS 124 days,https://pmc.ncbi.nlm.nih.gov/articles/PMC13264224/,2026-08-02,B_prospective_historical_control,aggregate,completed,non_RNA_Listeria_vaccine_plus_radiation,"This small nonrandomized comparison was in a palliative local-control setting rather than postoperative MRD. Salvage amputation, chemotherapy, or additional radiation after progression was allowed in the comparison framework; no causal superiority or RNA-policy claim is valid."
canine_rna_lpa_pilot_acute_activity,Canine total-tumor RNA-LPA pilot,dog,osteosarcoma early feasibility,exploratory five-dog case series reported as a conference abstract,total-tumor RNA lipid particle aggregates,serial vaccination with acute blood measurements,reported_safety_and_acute_immune_activity,5,,,,,,,,,none,https://jitc.bmj.com/content/11/Suppl_1/A1519,2026-08-02,C_early_exploratory,aggregate,completed_abstract_only,RNA_lipid_particle_aggregate,"The abstract reports acute CBC and cytokine changes but no controlled efficacy estimate; patient-level measurements are not public."
